City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,arman,59.7,150.1667,10.44,97,100,1.99,RU,1678633454
322,dunedin,-45.8742,170.5036,52.81,96,99,10.0,NZ,1678633293
323,mount gambier,-37.8333,140.7667,51.75,90,0,5.08,AU,1678633455
324,kaitangata,-46.2817,169.8464,48.52,90,100,12.59,NZ,1678633455
325,agen,44.2,0.6333,62.69,77,100,4.61,FR,1678633245
326,modrica,43.5204,21.3647,46.22,46,70,11.61,RS,1678633455
327,ust-maya,60.4167,134.5333,-6.77,100,94,3.78,RU,1678633455
328,xining,36.6167,101.7667,38.03,23,2,1.61,CN,1678633455
329,lubsko,51.7847,14.972,44.76,53,99,9.15,PL,1678633455
330,saint-augustin,51.226,-58.6502,29.53,66,64,8.63,CA,1678633455
331,cayenne,4.9333,-52.3333,86.04,62,75,16.11,GF,1678633438
332,tautira,-17.7333,-149.15,81.0,77,59,15.93,PF,1678633455
333,nizwa,22.9333,57.5333,82.49,28,77,3.22,OM,1678633455
334,the valley,18.217,-63.0578,80.74,69,40,10.36,AI,1678633456
335,kathmandu,27.7167,85.3167,62.82,72,40,2.3,NP,1678633416
336,tezu,27.9167,96.1667,72.14,32,18,5.28,IN,1678633456
337,stornoway,58.2093,-6.3865,44.56,88,75,3.44,GB,1678633456
338,grande riviere noire,-20.3603,57.3661,78.42,76,92,12.17,MU,1678633456
339,beeskow,52.1667,14.25,42.37,52,100,8.23,DE,1678633456
340,college,64.8569,-147.8028,6.8,84,100,1.9,US,1678633233
341,necochea,-38.5473,-58.7368,92.46,37,8,15.82,AR,1678633456
342,svetlogorsk,52.6333,29.7333,32.5,73,100,15.28,BY,1678633456
343,bonga,7.2833,36.2333,69.04,75,96,0.83,ET,1678633456
344,ilulissat,69.2167,-51.1,21.22,38,15,5.75,GL,1678633262
345,tabas,33.5959,56.9244,72.05,20,6,4.5,IR,1678633456
346,charcas,23.1333,-101.1167,66.88,28,0,4.54,MX,1678633456
347,ixtapa,20.7,-105.2,65.43,88,0,0.0,MX,1678633457
348,duluth,46.7833,-92.1066,30.07,91,75,24.16,US,1678633457
349,sisimiut,66.9395,-53.6735,14.4,81,70,2.59,GL,1678633457
350,brewster,41.3973,-73.6171,44.28,58,0,5.75,US,1678633457
351,pakxan,18.3778,103.6601,75.78,61,91,8.72,LA,1678633457
352,bambanglipuro,-7.95,110.2833,78.67,79,98,2.48,ID,1678633457
353,qasigiannguit,68.8193,-51.1922,21.45,78,15,0.92,GL,1678633457
354,barra patuca,15.8,-84.2833,79.14,62,27,10.02,HN,1678633457
355,ruteng,-8.6136,120.4721,60.93,90,5,0.54,ID,1678633457
356,conceicao do araguaia,-8.2578,-49.2647,79.59,82,100,3.94,BR,1678633457
357,souillac,-20.5167,57.5167,77.59,80,99,11.14,MU,1678633457
358,mandera,3.9366,41.867,100.26,19,41,3.71,KE,1678633457
359,sarakhs,36.5449,61.1577,66.99,44,6,11.01,IR,1678633458
360,aleksandrovskoye,44.7142,43.0008,57.87,63,100,8.03,RU,1678633458
361,rangapara,26.8167,92.65,73.67,36,17,6.71,IN,1678633458
362,tuatapere,-46.1333,167.6833,48.99,90,100,10.02,NZ,1678633458
363,semnan,35.5729,53.3971,61.25,31,7,4.47,IR,1678633458
364,lavrentiya,65.5833,-171.0,-18.6,84,9,4.41,RU,1678633215
365,louth,53.3666,-0.0044,55.85,67,100,24.16,GB,1678633458
366,marsa matruh,31.3525,27.2453,67.5,59,7,12.26,EG,1678633458
367,lhokseumawe,5.1801,97.1507,79.16,83,99,0.87,ID,1678633458
